AreaManagerId,SellingPointId,StartDateSellingPoint,EndDateSellingPoint,SellingPointDesc,Location
299,8702,20180604,,Kampsingel (parkeerterrein ah),"(51.931567084, 6.079471629)"
299,8702,20180604,,Kampsingel (parkeerterrein ah),"(51.931327227, 6.079204707)"
299,8704,20180604,,Parkeerterrein Haspelstraat,"(51.930899297, 6.076162452)"
299,8728,20180604,,Bastion,"(51.930697899, 6.080494465)"
299,8715,20180604,,Subenharastraat,"(51.932277259, 6.072939229)"
299,8711,20180604,,Parkeerterrein Didamsestraat,"(51.928164446, 6.078784008)"
299,8710,20180604,,Stadsgracht,"(51.928683868, 6.078663674)"
299,8724,20180604,,Gersdorfstraat,"(51.924480614, 6.072672775)"
299,8721,20180604,,Molenstraat,"(51.927756324, 6.07184763)"
299,8723,20180604,,Romei,"(51.926150302, 6.072784514)"
928,566500,20181220,,Poststraat,"(50.866656548, 6.065017572)"
928,566503,20190901,,Koninginnestraat,"(50.866304513, 6.06709191)"
243,38406,20170101,,Vuldersbrink,"(52.349219853, 5.621639495)"
243,38411,20170101,,Stadswerven,"(52.354084648, 5.625192488)"
243,38405,20170101,,Vitrinagasingel,"(52.347070546, 5.616876665)"
402,35257,20180315,,BS_1NS,"(52.221637455, 5.158767124)"
642,7895,20140414,20170901,403 Dr. Boutensstraat,"(51.813605318, 4.639474762)"
243,38405,20170101,,Vitrinagasingel,"(52.347478248, 5.61816017)"
518,1643,20051116,,ORANJEBUITENSINGEL 22 (3685),"(52.080338779, 4.321616214)"
928,566505,20190901,,Marktstraat,"(50.8631048, 6.065140308)"
299,8705,20180604,,Parkeerterrein Schievestraat,"(51.930205, 6.075681118)"
243,38405,20170101,,Vitrinagasingel,"(52.347689678, 5.619481501)"
243,38413,20170101,,Selhorst,"(52.347756054, 5.623209239)"
518,2256,20101011,,PARALLELWEG 226 (4392),"(52.061561526, 4.307458043)"
243,38411,20170101,,Stadswerven,"(52.353565642, 5.626082917)"
928,566500,20181220,20190607,,"(50.866415935, 6.064214238)"
243,38403,20170101,,Plantage,"(52.347561447, 5.615112435)"
642,7895,20140414,20170901,402 Da Costastraat,"(51.814126317, 4.640341072)"
642,7895,20140414,20170901,401 Jan Campertstraat,"(51.814745418, 4.638260129)"
299,8714,20180604,,Masiusplein -2,"(51.927300495, 6.074232816)"
243,38413,20170101,,Selhorst,"(52.347779872, 5.623189951)"
243,38412,20170101,,Flevoweg,"(52.354963749, 5.625566156)"
299,8725,20180604,,v. Munsterstraat,"(51.925137895, 6.073704207)"
299,8707,20180604,,Parkeerterrein Karel v. Gelrelaan,"(51.92943119, 6.073919089)"
299,8709,20180604,,Arnhemseweg,"(51.928917076, 6.07215706)"
299,8712,20180604,,Masiusplein,"(51.927141484, 6.074898949)"
299,8713,20180604,,Masiusplein -1,"(51.927464806, 6.074250006)"
299,8729,20180604,,Bastion,"(51.929844597, 6.079875606)"
299,8726,20180604,,Kerkstraat,"(51.924867563, 6.074718448)"
299,8703,20180604,,Kampsingel (parkeerterrein ah),"(51.931121894, 6.078620698)"
299,8731,20180604,,Bergvrede,"(51.92904428, 6.079394271)"
299,8718,20180604,,Haspelstraat,"(51.931164293, 6.07364404)"
299,8703,20180604,,Kampsingel (parkeerterrein ah),"(51.93130739, 6.07870665)"
299,8717,20180604,,Schievestraat,"(51.932446852, 6.075045068)"
